episode_title,episode_date,length_minutes,n_episodes,title,author,frequency
NerdCast 684 - Stranger Things 3: Gore e Fan Service,2019-07-26,105,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 55 - Making of de um novo produto,2019-07-26,44,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 683 - Viajar é se f*der 3,2019-07-19,122,830,NerdCast,Jovem Nerd,Weekly podcast
Speak English 17 - O inglês de quem mora fora,2019-07-19,42,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 682 - Terríveis Mundos da Ficção,2019-07-12,75,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCash 13 - Sonhos de Consumo,2019-07-12,54,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 681 - Reprogramação Quântica de Mindset,2019-07-05,96,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 41 - Segurança Digital,2019-07-05,53,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 680 - S3X + D34TH + R080T0S,2019-06-28,106,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 54 - O desafio do multitasking,2019-06-28,46,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 679 - O Triunfo da Tormenta,2019-06-21,88,830,NerdCast,Jovem Nerd,Weekly podcast
Speak English 16 - Perrengues de inglês em viagens,2019-06-21,55,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 678 - Os Piores Crossovers,2019-06-14,92,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCash 12 - Day trade em gráficos,2019-06-14,44,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 677 - Especial Dia dos Namorados 2019,2019-06-07,173,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 40 - Desculpas e Gambiarras de programador,2019-06-07,51,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 676 - Elton “Reginaldo” John: Gênio Extravagante,2019-05-31,101,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 53 - Mentindo no Currículo,2019-05-31,39,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 675 - Game of Thrones: O difícil adeus,2019-05-24,156,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 674 - Gerenciamento de Tempo,2019-05-24,83,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 673 - Haters gonna hate,2019-05-17,79,830,NerdCast,Jovem Nerd,Weekly podcast
Speak English 15 - Aprendendo a dar ênfase,2019-05-17,41,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 672 - Hellboy nos quadrinhos,2019-05-10,93,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCash 11 - Entendendo derivativos,2019-05-10,40,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 671 - Vingadores S2 3000,2019-05-03,121,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 39 - Inovação contra estagnação (Vingadores),2019-05-03,55,830,NerdCast,Jovem Nerd,Weekly podcast
