ranking,podcast,produtora,país,formato,data-base,link
1,Nerdcast,Jovem Nerd,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/7622ef30-3f20-0131-77d1-723c91aeae46
2,Braincast,B9,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/47e85350-420a-012f-069a-525400c11844
3,Mamilos,B9,Brasil,mesa redonda,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/8e5629f0-512e-0132-cf87-5f4c86fd3263
4,RapaduraCast,Cinema com Rapadura,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/08d366d0-296b-012e-07b0-00163e1b201c
5,AntiCast,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/59b7c240-797b-0130-0111-723c91aeae46
6,Matando Robôs Gigantes,Matando Robôs Gigantes,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/7f953020-3f20-0131-77d1-723c91aeae46
7,99Vidas,99Vidas,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/2d07f8d0-ba7b-012e-6230-00163e1b201c
8,Scicast,Portal Deviante,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/64baada0-dfd2-0131-89ae-5f4c86fd3263
9,Xadrez Verbal,Central3,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/b9b05d90-d8cc-0132-0349-059c869cc4eb
10,Tecnocast,Tecnoblog,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/6c7915d0-3be7-012f-03c7-525400c11844
11,Projeto Humanos,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/d80203c0-16f2-0133-246e-059c869cc4eb
12,Não Ouvo,Não Salvo,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/befb7730-500e-0133-c345-0d11918ab357
13,Hipsters Ponto Tech,Alura,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/8c92b8c0-2f51-0134-eba6-0d50f522381b
14,Gugacast,Guga Mafra,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/b4605950-63ba-0134-787d-4ffec63d9550
15,Loop Matinal,Loop Infinito,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/96d8bb00-5fab-0133-ccd7-0d11918ab357
16,Naruhodo,B9,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/3f602eb0-4ae0-0134-ebfa-0d50f522381b
17,Escriba Café,Christian Gurtner,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/0d2d9160-d935-012f-8cf1-723c91aeae46
18,Dragões de Garagem,Luciano Queiroz e Lucas Marques,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/06120e50-92a3-0130-1089-723c91aeae46
19,Café Brasil Podcast,Luciano Pires e Café Brasil Editora,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/ca574b80-2cc4-012e-09cc-00163e1b201c
20,Mundo Freak,Andrei Fernandes,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/8d0b5650-986a-012f-3954-525400c11844
21,Jogabilidade (Games),Jogabilidade,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/d648c110-0b39-012f-eebf-525400c11844
22,Decrépitos,Decrépitos Podcast,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/b1c52a30-92b0-0132-efe5-5f4c86fd3263
23,Mupoca,B9,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/3d251040-c435-0131-27c8-723c91aeae46
24,Fronteiras da Ciência,Fronteiras da Ciência/IF-UFRGS,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/fb4669d0-4a98-012e-1aa8-00163e1b201c
25,Rebobinando,Estalo Podcasts,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/059f9230-280d-0135-52f9-452518e2d253
26,Canaltech,Canaltech,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/08366840-0582-0130-b022-723c91aeae46
27,Politiquês,Nexo Jornal,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/92c1e620-88ff-0133-2d8b-6dc413d6d41d
